date,selected_return,selected_alpha,best_return,best_alpha,selected_stocks,risk_power,fold,train_fraction
2026-01-07,-0.004259877953373096,-0.01790616809067925,0.28087621334635365,0.26722992320904754,"601881,600104,600061,601788,601066",0.25,4,0.85
2026-01-08,-0.00864253443244635,-0.01534304740572504,0.29788535061278554,0.29118483763950687,"601881,600887,601788,601390,601066",0.25,4,0.85
2026-01-09,-0.006250740609741347,-0.00812609858694625,0.15755084491155366,0.15567548693434877,"601788,601881,601878,600887,601901",0.25,4,0.85
2026-01-12,-0.03413913305224642,-0.015481599366802152,0.14529327042293788,0.16395080410838214,"600660,601881,600028,002714,601390",0.25,4,0.85
2026-01-13,-0.03106811220880131,-0.026672986226987543,0.16472058585351856,0.16911571183533233,"601881,600061,601788,601236,600999",0.25,4,0.85
2026-01-14,-0.01200490943180525,-0.012694385167308897,0.17852480851780125,0.17783533278229763,"000876,601881,601788,000333,600918",0.25,4,0.85
2026-01-15,-0.01825054048321768,-0.0180098814298554,0.24527348206655786,0.24551414111992015,"601881,600999,600061,601788,601236",0.25,4,0.85
2026-01-16,0.0008136479097559516,-0.010731247050077755,0.23088526246201785,0.21934036750218416,"601881,600999,600061,601236,600918",0.25,4,0.85
2026-01-19,-0.005304085603277344,-0.011819744396814946,0.20747854666233687,0.20096288786879923,"601881,600061,601788,600999,601236",0.25,4,0.85
2026-01-20,-0.0039933914733124125,-0.009317482659876187,0.1729470058889458,0.167622914702382,"601881,600999,000166,601788,002594",0.25,4,0.85
2026-01-21,-0.0028350389736345287,-0.0029409346013348527,0.2024044885426683,0.20229859291496796,"601881,300059,601788,600999,601901",0.25,4,0.85
2026-01-22,-0.012831313957343849,-0.01179168799265633,0.27125068379727557,0.27229030976196306,"300059,600918,600999,600030,601881",0.25,4,0.85
2026-01-23,-0.004068826434349551,0.0009177454665345635,0.16289600838473506,0.16788258028561917,"601881,600918,600999,601788,000651",0.25,4,0.85
2026-01-26,-0.010069436656930646,0.006255551857935521,0.15462156307458236,0.17094655158944852,"601788,601881,603369,601878,600999",0.25,4,0.85
